trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
167,False,"{'e': 0.8470462341893996, 'a': 0.001}",20,0,-253.5820656436278,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 5}",0
168,False,"{'e': 0.8461996113371882, 'a': 0.001}",20,0,-123.4325026125354,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
169,False,"{'e': 0.8453538346846587, 'a': 0.001}",20,0,-34.99470671783183,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
170,False,"{'e': 0.8445089033860343, 'a': 0.001}",30,3,-42.26482165899603,"{0: 21, 1: 4, 2: 1, 3: 0, 4: 1}",1
171,False,"{'e': 0.8436648165963837, 'a': 0.001}",25,0,-139.43525420517707,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
172,False,"{'e': 0.8428215734716199, 'a': 0.001}",30,0,-93.99976346501084,"{0: 19, 1: 7, 2: 2, 3: 1, 4: 1}",0
173,False,"{'e': 0.8419791731684999, 'a': 0.001}",35,0,-187.2324502030945,"{0: 21, 1: 5, 2: 5, 3: 1, 4: 3}",1
174,False,"{'e': 0.8411376148446232, 'a': 0.001}",30,6,-98.876827526747,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 1}",1
175,False,"{'e': 0.8402968976584314, 'a': 0.001}",25,7,-131.6848217117421,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 3}",1
176,False,"{'e': 0.8394570207692074, 'a': 0.001}",30,0,-143.7618358410414,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",0
177,False,"{'e': 0.838617983337074, 'a': 0.001}",30,0,-55.16975748751758,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
178,False,"{'e': 0.8377797845229938, 'a': 0.001}",20,0,-10.159172197861247,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
179,False,"{'e': 0.8369424234887681, 'a': 0.001}",25,0,-81.20728142791904,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",1
180,False,"{'e': 0.8361058993970355, 'a': 0.001}",25,0,-146.59173533927847,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
181,False,"{'e': 0.835270211411272, 'a': 0.001}",20,0,-103.2218462717218,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
182,False,"{'e': 0.8344353586957896, 'a': 0.001}",25,0,-79.9613724639369,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
